account_id,account_name,arr,contract_end_date,plan_tier,industry,csm_name,region,days_to_renewal,renewing_next_90_days,api_decline_pct,active_user_decline_pct,workflow_decline_pct,latest_sdk,total_tickets,open_tickets,escalated_tickets,p1_tickets,avg_resolution_time,score,verbatim_comment,nps_category,overall_sentiment,budget_issue,competitor,migration_issue,executive_involved,renewal_risk_reason,ai_risk_score,ai_risk_level,note_length,raw_note,risk_score,risk_tier,confidence_score,risk_reasons
1000,Acme Corp,17000,2026-05-25,Starter,Media & Publishing,Carlos Mendez,NA-West,55,True,52.24,50.0,50.0,v3.2.0,7.0,2.0,1.0,2.0,60.31666666666667,6.0,The new editor is a downgrade. We've wasted months trying to adapt.,Detractor,,,,,,,,,,,100,High,95,Significant API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Multiple critical support tickets | Slow support resolution | Customer is an NPS Detractor | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1002,NovaTech Industries,29000,2026-05-19,Starter,Manufacturing,Sarah Chen,LATAM,49,True,72.05,66.67,80.0,v3.2.0,14.0,5.0,2.0,5.0,54.137499999999996,0.0,Support takes forever. Our P1 sat open for 3 weeks.,Detractor,,,,,,,,,,,100,High,100,Severe API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Very high number of P1 incidents | Support escalations detected | Slow support resolution | Customer is an NPS Detractor | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1003,Meridian Health,193000,2026-06-12,Growth,Media & Publishing,David Kim,LATAM,73,True,39.01,36.36,48.15,v3.1.2,8.0,5.0,2.0,1.0,49.98333333333333,8.0,Great support team. Always responsive.,Passive,,,,,,,,,,,100,High,75,Moderate API usage decline | Active users declining | Workflow activity reduced | Customer still using deprecated SDK v3 | Support escalations detected | Slow support resolution | Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1004,Pinnacle Media Group,203000,2026-05-10,Scale,Travel & Hospitality,Raj Patel,EMEA,40,True,59.47,53.33,60.0,v3.4.1,7.0,2.0,3.0,2.0,69.26666666666667,6.0,Constant downtime and no communication. We're done.,Detractor,negative,True,Contentful,False,False,mid-cycle price increase and poor communication with billing team,65.0,High,271.0,"3/28 Pinacle Media (acct 1004)
They're fine on the product side but the billing team is furious about the mid-cycle 
price increase. Threatened to go to Contentful. I've offered to set up a call with 
our finance team but they haven't responded. Two missed QBRs in a row.",100,High,85,Significant API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Multiple critical support tickets | Support escalations detected | Slow support resolution | Customer is an NPS Detractor | Renewal approaching | Negative customer sentiment | Budget concerns identified | Evaluating competitor (Contentful)
1005,Vanguard Retail,106000,2026-06-02,Growth,Financial Services,James Okafor,APAC,63,True,73.17,69.23,62.96,v3.2.0,8.0,2.0,3.0,2.0,51.357142857142854,2.0,Support takes forever. Our P1 sat open for 3 weeks.,Detractor,,,,,,,,,,,100,High,98,Severe API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Multiple critical support tickets | Support escalations detected | Slow support resolution | Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1006,Atlas Financial,39000,2026-06-03,Starter,Government,Emily Watson,NA-East,64,True,51.19,66.67,50.0,v3.4.1,8.0,4.0,1.0,4.0,58.98333333333333,8.0,We love the CONCEPT but the execution has fallen off a cliff this year.,Passive,,,,,,,,,,,100,High,95,Significant API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Very high number of P1 incidents | Slow support resolution | Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1007,Zenith Publishing,1625000,2026-05-05,Enterprise,Travel & Hospitality,James Okafor,LATAM,35,True,61.79,56.76,56.31,v3.1.2,6.0,3.0,0.0,2.0,40.475,-1.0,,No Response,negative,True,Kontent.ai,False,True,pricing and performance issues,75.0,High,354.0,"4/5 - Zenith Publishing (#1007)
Renewl conversation started. They want a 30% discount or they walk. Current ARR is 
high but margin is already thin. Editor performance on their 50k+ entry library is 
painful and they know it. Competitor POC with Kontent.ai is apparently already underway.
CRO was cc'd on the last email thread which is never a good sign.",100,High,93,Severe API usage decline | Major drop in active users | Workflow adoption dropped sharply | Customer still using deprecated SDK v3 | Multiple critical support tickets | Customer is an NPS Detractor | Renewal approaching | High ARR account | Negative customer sentiment | Budget concerns identified | Executive leadership involved | Evaluating competitor (Kontent.ai)
1009,Orion Education,126000,2026-04-30,Growth,Media & Publishing,James Okafor,APAC,30,True,25.38,-10.0,-15.38,v4.0.0,3.0,0.0,0.0,0.0,31.73333333333333,8.0,Fine for now but we're watching competitors closely.,Passive,neutral,False,WordPress,True,False,potential platform change due to merger,45.0,Medium,285.0,"3/18 orion education (1009)
They love the product but are merging with another ed-tech company that uses WordPress.
Unclear which platform survives. Decision expected by May. Their champion (Director 
of Content) is nervous about her own role post-merger. She's been our main advocate.",68,Medium,60,Moderate API usage decline | Customer is an NPS Passive | Renewal due within 30 days | Migration concerns identified | Evaluating competitor (WordPress)
1011,Skyline Travel,310000,2026-05-24,Scale,Financial Services,Priya Sharma,LATAM,54,True,-3.54,20.51,-13.04,v4.1.0,4.0,1.0,0.0,0.0,29.725,7.0,"Good product, needs better documentation.",Passive,neutral,False,,True,False,technical issues with locale management and missing fix in newer version,25.0,Low,271.0,"3/26 skyline travel (1011)
They're expanding internationally which is great, but struggling with our locale 
management. Filed 3 tickets about locale fallback behavior. On SDK v4.0 so they 
missed the fix in v4.2. Could go either way on renewal. They asked to talk to PM.",41,Medium,55,Customer is an NPS Passive | Renewal approaching | Migration concerns identified
1012,Quantum Commerce,93000,2026-06-18,Growth,Travel & Hospitality,Emily Watson,LATAM,79,True,13.7,30.77,45.45,v4.0.0,6.0,2.0,2.0,0.0,31.46666666666667,6.0,Solid CMS but the pricing feels steep for what we get.,Detractor,,,,,,,,,,,100,High,75,Active users declining | Workflow activity reduced | Support escalations detected | Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1013,RedLeaf Healthcare,135000,2026-04-27,Growth,Media & Publishing,Sarah Chen,EMEA,27,True,8.54,0.0,12.5,v4.0.0,4.0,2.0,0.0,1.0,21.275000000000002,9.0,El producto es bueno pero el soporte en español es inexistente.,Promoter,,,,,,,,,,,67,Medium,70,Renewal due within 30 days | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1014,BluePeak Software,1061000,2026-04-28,Enterprise,Media & Publishing,Raj Patel,NA-West,28,True,15.65,10.39,6.56,v4.0.0,4.0,0.0,0.0,0.0,23.75,10.0,Le produit est bon mais l'interface n'est pas intuitive pour notre équipe marketing.,Promoter,,,,,,,,,,,82,High,70,Renewal due within 30 days | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1017,Pacific Rim Trading,1724000,2026-06-10,Enterprise,SaaS / Technology,Carlos Mendez,NA-West,71,True,20.37,15.71,41.57,v4.0.0,4.0,1.0,0.0,0.0,16.95,5.0,产品功能还可以，但客服团队沟通效率太低了。我们多次要求更换客户经理都没有得到回应。非常失望。,Detractor,neutral,False,,False,False,rocky CSM relationship and customer request for new CSM,10.0,Low,261.0,"4/10 pacific rim trading (1017)
mixed signals. usage metrics look healthy but the CSM relationship has been rocky.
they've requested a new CSM twice. their last NPS comment was in mandarin so i 
couldn't read it -- need to get it translated. contract up in may.",65,Medium,55,Moderate API usage decline | Workflow activity reduced | Customer is an NPS Detractor | High ARR account
1018,Ironclad Security,691000,2026-04-26,Enterprise,Financial Services,Priya Sharma,NA-West,26,True,-8.21,-29.49,-22.75,v4.2.3,3.0,0.0,0.0,0.0,15.433333333333332,10.0,Transformed how our team publishes content. Love it.,Promoter,,,,,,,,,,,67,Medium,70,Renewal due within 30 days | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk
1019,Summit Analytics,1751000,2026-04-28,Enterprise,Travel & Hospitality,Anna Kowalski,LATAM,28,True,-2.72,-6.98,-58.94,v4.1.0,1.0,0.0,0.0,0.0,19.6,3.0,Great developer experience and the support team is phenomenal.,Detractor,,,,,,,,,,,100,High,75,Customer is an NPS Detractor | Renewal due within 30 days | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1020,Coral Bay Resorts,1610000,2026-05-22,Enterprise,Manufacturing,Sarah Chen,NA-East,52,True,-0.43,-12.35,-10.75,v4.1.0,1.0,0.0,0.0,0.0,9.5,10.0,Great developer experience and the support team is phenomenal.,Promoter,,,,,,,,,,,67,Medium,70,Renewal approaching | High ARR account | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk
1021,Falcon Aerospace,378000,2026-05-04,Scale,Retail,Anna Kowalski,NA-West,34,True,-25.81,-12.12,5.56,v4.3.0,3.0,0.0,0.0,0.0,11.199999999999998,-1.0,,No Response,,,,,,,,,,,90,High,75,Customer is an NPS Detractor | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1022,Jade River Tech,507000,2026-05-23,Enterprise,Manufacturing,Priya Sharma,LATAM,53,True,-13.79,-20.25,-22.97,v4.2.3,0.0,0.0,0.0,0.0,0.0,9.0,Best headless CMS on the market. Period.,Promoter,,,,,,,,,,,62,Medium,70,Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk
1024,Beacon Insurance,285000,2026-06-28,Scale,Manufacturing,Sarah Chen,LATAM,89,True,-3.09,-6.06,0.0,v4.2.3,0.0,0.0,0.0,0.0,0.0,9.0,Transformed how our team publishes content. Love it.,Promoter,positive,False,,False,False,,0.0,Low,172.0,"04/08 beacon insurance (acct 1024)
annual check-in. They're regulated so they move slow but steady. renewal 
isn't until Q4. No concerns, just maintaining the relationship.",0,Low,50,Strong customer health offsets renewal risk
1025,Tidal Wave Sports,456000,2026-04-22,Scale,Financial Services,Raj Patel,EMEA,22,True,-27.58,-36.67,12.07,v4.1.0,0.0,0.0,0.0,0.0,0.0,10.0,,Promoter,,,,,,,,,,,60,Medium,70,Renewal due within 30 days | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan) | Strong customer health offsets renewal risk
1026,Golden Gate Ventures,65000,2026-05-20,Growth,Government,James Okafor,NA-East,50,True,5.69,-25.0,-12.0,v4.3.0,2.0,0.0,0.0,0.0,15.8,7.0,,Passive,,,,,,,,,,,75,High,70,Customer is an NPS Passive | Renewal approaching | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1027,Cedar Hill Partners,645000,2026-06-27,Enterprise,Healthcare,Priya Sharma,APAC,88,True,-6.29,10.11,-15.33,v4.3.0,1.0,0.0,0.0,0.0,8.3,5.0,Would recommend to anyone in our industry.,Detractor,,,,,,,,,,,92,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1028,Arctic Fox Games,119000,2026-06-26,Growth,Government,Anna Kowalski,NA-West,87,True,1.04,8.33,0.0,v4.2.3,2.0,1.0,0.0,0.0,7.1,6.0,Transformed how our team publishes content. Love it.,Detractor,,,,,,,,,,,82,High,75,Customer is an NPS Detractor | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
1029,Sapphire Networks,132000,2026-06-10,Growth,SaaS / Technology,David Kim,LATAM,71,True,-26.01,-9.09,-3.45,v4.3.0,1.0,0.0,0.0,0.0,15.5,8.0,We evaluated 5 CMS platforms. Contentstack won easily.,Passive,,,,,,,,,,,70,High,70,Customer is an NPS Passive | Budget concerns identified | Migration concerns identified | Executive leadership involved | Evaluating competitor (nan)
